date,code,side,shares,price,commission,realized_pnl
2019-03-08,23950,buy,100,815.8149999999999,44.869825000000006,
2019-03-13,45710,buy,100,511.51099999999997,28.133105,
2019-03-14,87030,buy,100,561.5609999999999,30.885854999999996,
2019-03-18,23950,sell,100,829.17,45.604350000000004,1289.8956499999904
2019-03-22,45710,sell,100,475.524,26.153820000000003,-3624.8538199999966
2019-03-26,13320,buy,100,802.8019999999999,44.15411,
2019-03-28,23950,buy,100,900.8999999999999,49.549499999999995,
2019-04-02,87030,sell,100,556.443,30.604364999999998,-542.4043649999938
2019-04-03,37650,sell,300,378.621,62.472465,20130.527535
2019-04-03,23950,sell,100,843.156,46.37358,-5820.773579999992
2019-04-05,13320,sell,100,789.21,43.40655,-1402.6065499999984
2019-04-18,77770,buy,100,692.6919999999999,38.09805999999999,
2019-04-26,18870,buy,100,752.752,41.401360000000004,
2019-04-26,77770,sell,100,684.315,37.637325000000004,-875.3373249999726
2019-05-14,18870,sell,100,683.316,37.58238000000001,-6981.182379999992
2019-06-12,29310,buy,100,906.906,49.87983,
2019-06-25,29310,sell,100,901.098,49.56039,-630.3603899999993
2019-06-28,87030,buy,100,557.5569999999999,30.665634999999995,
2019-07-08,45750,buy,100,902.9019999999999,49.65961,
2019-07-08,87030,sell,100,557.442,30.65931,-42.159309999989546
2019-07-09,46890,buy,200,323.323,35.56553,
2019-07-09,45750,sell,100,827.172,45.494460000000004,-7618.494459999991
2019-07-16,85930,buy,100,589.5889999999999,32.427395,
2019-07-18,46890,sell,200,326.673,35.93403,634.0659700000045
2019-07-19,85930,sell,100,574.425,31.593374999999998,-1547.9933749999987
2019-07-29,85930,buy,100,606.6059999999999,33.36333,
2019-08-05,42930,buy,200,404.40399999999994,44.48444,
2019-08-07,85930,sell,100,572.427,31.483485000000005,-3449.383484999986
2019-08-14,42930,sell,200,425.574,46.813140000000004,4187.186860000014
2019-09-12,32440,buy,100,1881.8799999999999,103.5034,
2019-09-24,32440,sell,100,1878.12,103.29660000000001,-479.29660000002184
2019-10-01,67760,buy,100,581.5809999999999,31.986955,
2019-10-02,69670,buy,100,925.925,50.925875000000005,
2019-10-09,75990,buy,200,463.46299999999997,50.98093,
2019-10-10,69670,sell,100,957.042,52.63731,3059.0626900000075
2019-10-11,66660,buy,200,391.39099999999996,43.05301,
2019-10-11,67760,sell,100,654.345,35.988975,7240.411025000012
2019-10-16,23370,buy,200,448.448,49.32928,
2019-10-18,75990,sell,200,519.48,57.1428,11146.257200000011
2019-10-23,66660,sell,200,390.609,42.96699,-199.36698999999646
2019-10-25,23370,sell,200,437.562,48.131820000000005,-2225.3318199999935
2019-10-28,82820,buy,100,1208.2069999999999,66.45138499999999,
2019-11-06,65840,buy,100,1090.089,59.954895,
2019-11-06,82820,sell,100,1243.755,68.40652500000002,3486.393475000023
2019-11-22,46510,buy,100,386.38599999999997,21.25123,
2019-11-25,65840,sell,100,1349.649,74.230695,25881.769304999994
2019-12-02,46510,sell,100,370.629,20.384595,-1596.0845949999948
2019-12-30,75990,buy,100,617.617,33.968935,
2020-01-09,67230,buy,100,774.7739999999999,42.61257,
2020-01-10,86040,buy,100,573.3727999999999,31.535503999999992,
2020-01-10,75990,sell,100,584.415,32.142825,-3352.3428249999997
2020-01-20,67230,sell,100,810.189,44.560395,3496.9396050000078
2020-01-21,86040,sell,100,567.9315,31.236232500000003,-575.3662324999842
2020-02-10,45580,buy,100,668.6679999999999,36.77674,
2020-02-13,85150,buy,200,333.33299999999997,36.66663,
2020-02-14,85720,buy,100,532.5319999999999,29.289259999999995,
2020-02-17,85150,buy,100,310.30999999999995,17.06705,
2020-02-20,45580,sell,100,801.198,44.06589,13208.93411000001
2020-02-20,85150,sell,300,302.697,49.94500500000001,-6938.445004999976
2020-02-25,85720,sell,100,496.503,27.307665,-3630.207664999994
2020-04-09,39410,buy,100,830.8299999999999,45.69565,
2020-04-09,49780,buy,200,348.34799999999996,38.318279999999994,
2020-04-10,71800,buy,200,440.43999999999994,48.44839999999999,
2020-04-14,83850,buy,100,559.559,30.775744999999997,
2020-04-14,45630,buy,100,850.8499999999999,46.796749999999996,
2020-04-14,29290,buy,100,846.8459999999999,46.57653,
2020-04-17,39410,sell,100,830.169,45.659295,-111.75929500000582
2020-04-20,71800,sell,200,419.58,46.153800000000004,-4218.153799999991
2020-04-21,49780,sell,200,358.641,39.45051,2019.1494900000127
2020-04-22,29290,sell,100,752.247,41.373585,-9501.273584999994
2020-05-01,83850,sell,100,574.425,31.593374999999998,1455.0066249999986
2020-05-11,49780,buy,100,418.41799999999995,23.01299,
2020-05-11,45630,sell,100,1598.4,87.912,74667.08800000002
2020-05-20,49780,sell,100,454.545,24.999975000000003,3587.7000250000065
2020-06-05,68880,buy,100,551.5509999999999,30.335304999999998,
2020-06-11,49780,buy,100,504.50399999999996,27.747719999999997,
2020-06-12,68880,sell,100,464.535,25.549425000000003,-8727.14942499999
2020-06-16,49780,sell,100,466.533,25.659315000000003,-3822.759314999995
2020-06-26,36860,buy,100,660.66,36.3363,
2020-06-29,45710,buy,100,588.588,32.37234,
2020-06-29,36860,sell,100,582.417,32.032935,-7856.332934999994
2020-07-02,45710,sell,100,529.47,29.12085,-5940.920849999994
2020-07-20,25860,buy,100,407.407,22.407385,
2020-07-27,25860,sell,100,374.625,20.604375,-3298.804374999998
2020-08-07,36670,buy,100,865.8649999999999,47.622575,
2020-08-11,66700,buy,100,956.9559999999999,52.63258,
2020-08-14,71570,buy,100,1467.466,80.71063,
2020-08-18,36670,sell,100,895.104,49.230720000000005,2874.6692800000146
2020-08-19,66700,sell,100,953.046,52.417530000000006,-443.41752999998545
2020-08-21,47720,buy,200,508.5079999999999,55.93588,
2020-08-24,82560,buy,400,385.38499999999993,84.78469999999999,
2020-08-24,71570,sell,100,1588.41,87.36255,12007.037450000042
2020-08-26,80050,buy,100,868.8679999999999,47.78774,
2020-08-26,47720,sell,200,468.531,51.53841,-8046.938409999995
2020-08-31,82560,sell,400,362.637,79.78014,-9178.980139999974
2020-09-07,47120,buy,200,1103.1019999999999,121.34121999999999,
2020-09-07,80050,sell,100,906.093,49.835115,3672.6648850000024
2020-09-10,47790,buy,100,868.8679999999999,47.78774,
2020-09-15,47120,sell,200,1127.871,124.06581000000001,4829.7341900000465
2020-09-18,80050,buy,200,881.8809999999999,97.00690999999999,
2020-09-18,47790,sell,100,868.131,47.747205,-121.44720499999664
2020-09-24,23850,buy,100,860.8599999999999,47.3473,
2020-09-29,37760,buy,200,450.44999999999993,49.549499999999995,
2020-09-30,80050,sell,200,934.065,102.74715,10334.05285000004
2020-10-02,23850,sell,100,900.099,49.50544500000001,3874.3945550000144
2020-10-05,37760,sell,200,419.58,46.153800000000004,-6220.153799999989
2020-11-12,85150,buy,100,302.30199999999996,16.62661,
2020-11-16,85150,sell,100,268.731,14.780205,-3371.8802049999967
2021-01-12,62550,buy,100,890.8899999999999,48.998949999999994,
2021-01-18,26670,buy,100,728.728,40.08004,
2021-01-20,62550,sell,100,1124.874,61.86807000000001,23336.531930000016
2021-01-21,26670,sell,100,659.34,36.2637,-6975.0636999999815
2021-01-29,67760,buy,100,677.6769999999999,37.272235,
2021-02-01,67790,buy,100,732.732,40.30026,
2021-02-02,67270,buy,100,944.9439999999998,51.97191999999999,
2021-02-04,86980,buy,100,609.6089999999999,33.528495,
2021-02-08,67760,sell,100,707.292,38.90106,2922.5989400000008
2021-02-10,72610,buy,100,882.882,48.55851,
