date,cash,portfolio_value
2018-06-14,884464.8768244999,884464.8768244999
2018-06-15,884464.8768244999,884464.8768244999
2018-06-18,816259.2843694999,886159.2843694999
2018-06-19,816259.2843694999,896159.2843694999
2018-06-20,751158.4986194998,882758.4986194998
2018-06-21,804076.3777694999,877676.3777694999
2018-06-22,804076.3777694999,876776.3777694999
2018-06-25,804076.3777694999,879576.3777694999
2018-06-26,804076.3777694999,874976.3777694999
2018-06-27,859889.7635144999,859889.7635144999
2018-06-28,859889.7635144999,859889.7635144999
2018-06-29,859889.7635144999,859889.7635144999
2018-07-02,859889.7635144999,859889.7635144999
2018-07-03,859889.7635144999,859889.7635144999
2018-07-04,859889.7635144999,859889.7635144999
2018-07-05,859889.7635144999,859889.7635144999
2018-07-06,859889.7635144999,859889.7635144999
2018-07-09,859889.7635144999,859889.7635144999
2018-07-10,859889.7635144999,859889.7635144999
2018-07-11,859889.7635144999,859889.7635144999
2018-07-12,859889.7635144999,859889.7635144999
2018-07-13,859889.7635144999,859889.7635144999
2018-07-17,859889.7635144999,859889.7635144999
2018-07-18,859889.7635144999,859889.7635144999
2018-07-19,859889.7635144999,859889.7635144999
2018-07-20,778363.5487444999,860263.5487444999
2018-07-23,727084.1605845,860184.1605845
2018-07-24,727084.1605845,862184.1605845
2018-07-25,727084.1605845,865284.1605845
2018-07-26,578253.7488545,866453.7488545
2018-07-27,578253.7488545,869153.7488545
2018-07-30,509747.69123450003,870147.6912345
2018-07-31,481307.1392080001,875457.1392080002
2018-08-01,481307.1392080001,877317.1392080002
2018-08-02,481307.1392080001,868967.1392080002
2018-08-03,562381.3238680001,865991.3238680001
2018-08-06,630275.9612680001,865175.9612680001
2018-08-07,630275.9612680001,869515.9612680001
2018-08-08,630275.9612680001,867145.9612680001
2018-08-09,709752.625048,855952.625048
2018-08-10,790627.1195980001,857427.1195980001
2018-08-13,790627.1195980001,855427.1195980001
2018-08-14,856125.4756780001,856125.4756780001
2018-08-15,856125.4756780001,856125.4756780001
2018-08-16,856125.4756780001,856125.4756780001
2018-08-17,856125.4756780001,856125.4756780001
2018-08-20,856125.4756780001,856125.4756780001
2018-08-21,856125.4756780001,856125.4756780001
2018-08-22,856125.4756780001,856125.4756780001
2018-08-23,856125.4756780001,856125.4756780001
2018-08-24,856125.4756780001,856125.4756780001
2018-08-27,856125.4756780001,856125.4756780001
2018-08-28,856125.4756780001,856125.4756780001
2018-08-29,790023.1393780002,856223.1393780002
2018-08-30,790023.1393780002,856023.1393780002
2018-08-31,709899.0953780002,854539.0953780002
